Title :,System of Social and Demographic Statistics of Japan
Open date :,Mar.23, 2018

***,Data not available
-,Not applicable
X,Not available

,,,,,A1101,,A110101,,A110102,,A4101,,A4200,,#A05203,
AREA Code,AREA,YEAR Code,YEAR,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A110101_Total population (Male)[person],Annotation,A110102_Total population (Female)[person],Annotation,A4101_Live births[person],Annotation,A4200_Deaths[person],Annotation,#A05203_Total fertility rate[-],Annotation
47000,Okinawa-ken,1995100000,1995,,1273440,,624737,,648703,,16751,,7283,,1.87,
47000,Okinawa-ken,1996100000,1996,,1282000,,629000,,653000,,17064,,7038,,1.86,
47000,Okinawa-ken,1997100000,1997,,1289000,,633000,,657000,,16614,,7381,,1.81,
47000,Okinawa-ken,1998100000,1998,,1298000,,637000,,661000,,16928,,7643,,1.83,
47000,Okinawa-ken,1999100000,1999,,1308000,,642000,,665000,,16680,,7880,,1.79,
47000,Okinawa-ken,2000100000,2000,,1318220,,647877,,670343,,16773,,7946,,1.82,
47000,Okinawa-ken,2001100000,2001,,1327000,,652000,,675000,,17169,,8132,,1.83,
47000,Okinawa-ken,2002100000,2002,,1336000,,657000,,679000,,16571,,8037,,1.76,
47000,Okinawa-ken,2003100000,2003,,1345000,,661000,,684000,,16303,,8433,,1.72,
47000,Okinawa-ken,2004100000,2004,,1353000,,665000,,689000,,16362,,8610,,1.72,
47000,Okinawa-ken,2005100000,2005,,1361594,,668502,,693092,,16115,,9021,,1.72,
47000,Okinawa-ken,2006100000,2006,,1369000,,672000,,697000,,16483,,9121,,1.74,
47000,Okinawa-ken,2007100000,2007,,1374000,,674000,,700000,,16588,,9399,,1.75,
47000,Okinawa-ken,2008100000,2008,,1378000,,675000,,703000,,16736,,9492,,1.78,
47000,Okinawa-ken,2009100000,2009,,1385000,,679000,,706000,,16744,,9923,,1.79,
47000,Okinawa-ken,2010100000,2010,,1392818,,683328,,709490,,17098,,10156,,1.87,
47000,Okinawa-ken,2011100000,2011,,1402000,,688000,,714000,,16918,,10686,,1.86,
47000,Okinawa-ken,2012100000,2012,,1411000,,693000,,719000,,17074,,10626,,1.90,
47000,Okinawa-ken,2013100000,2013,,1419000,,697000,,722000,,17209,,10956,,1.94,
47000,Okinawa-ken,2014100000,2014,,1426000,,700000,,725000,,16373,,11361,,1.86,
47000,Okinawa-ken,2015100000,2015,,1433566,,704619,,728947,,16941,,11326,,1.96,
47000,Okinawa-ken,2016100000,2016,,1439000,,708000,,732000,,16617,,11706,,1.95,
